"id","name","dept","h_index","i10index","min_year","max_year","t_publication","t_pubs_citations","highest_citations","mean_of_IF","mean_of_co_authors","num_nsf","t_deflated_nsf","num_nih","t_deflated_nih","Y05yr","KTotal","KDirect","KMediated","Chi","BetCentrality","PRCentrality","XDIndicator","SchoolRank","first_xd_year","xd_dept"
"0d3SpjQAAAAJ","ABIGAIL LS SWANN ","BIO",7,5,2006,2016,10,294,126,6.066,5.4,3,571820,0,0,2005,55,1,54,0.105263157894737,0,0.000256410256410256,"BIO",19,NA,"BIO"
"0dIBL4AAAAAJ","PERISTERA PASCHOU ","BIO",17,21,2004,2016,32,937,194,5.814,13.969,0,0,0,0,2000,231,1,230,0.408239700374532,0,6.41202144555547e-05,"XD",55,2007,"BIO"
"0DpK1EMAAAAJ","TUOMAS W SANDHOLM ","CS",73,204,1992,2017,274,18307,1288,4.242,2.832,17,7628991,0,0,1990,242,8,234,0.076530612244898,1310.30897551131,0.000207381324503873,"CS",1,NA,"CS"
"0e8QmOMAAAAJ","JEFFREY L DENBURG ","BIO",16,30,1965,2005,48,1080,118,5.06,2.125,0,0,0,0,1965,26,0,26,0.0689655172413793,0,0,"BIO",55,NA,"BIO"
"0ESwQagAAAAJ","THOMAS J GIVNISH ","BIO",60,97,1976,2017,107,11617,1516,5.291,4.439,18,6219494,0,0,1975,189,7,182,0.089622641509434,2096.48474927878,0.000243972060584004,"BIO",18,NA,"BIO"
"0fq5QeIAAAAJ","PAVEL A PEVZNER ","CS",79,184,1989,2017,213,22466,1702,7.985,5.07,5,2108751,0,0,1985,808,22,786,0.654121863799283,33871.5855649259,0.000609345403456135,"XD",15,1998,"CS"
"0fVKnEcAAAAJ","MICHAEL TRAVISANO ","BIO",30,48,1985,2016,66,5338,850,6.841,3.606,6,1722961,0,0,1985,164,7,157,0.144144144144144,5235.7984969095,0.000278064231241933,"BIO",34,NA,"BIO"
"0goLOJ4AAAAJ","VIKAS BHANDAWAT ","BIO",7,7,2005,2016,10,814,218,12.382,3.4,0,0,0,0,2005,14,1,13,0,0,0.000125628132528684,"BIO",11,NA,"BIO"
"0gtvj54AAAAJ","STEPHANIE E PALMER ","BIO",7,7,2007,2016,8,142,59,5.374,4,0,0,0,0,2005,19,1,18,0.210526315789474,0,0.000108506999113476,"BIO",14,NA,"BIO"
"0IHc9DUAAAAJ","CARL K CHANG ","CS",23,65,1963,2016,137,2356,301,1.529,3.591,5,729255,0,0,1960,393,5,388,0.200980392156863,5109.11496948276,0.000205788232537031,"CS",63,NA,"CS"
"0iJRaawAAAAJ","JAMES P COHOON ","CS",25,46,1983,2013,64,2849,384,1.633,2.641,0,0,0,0,1980,42,3,39,0.0833333333333333,132.096280575446,0.000106322786829078,"CS",29,NA,"CS"
"0irVeiQAAAAJ","SRINIVASAN SESHAN ","CS",60,117,1993,2016,150,18365,1908,1.56,5.027,7,4497988,0,0,1990,619,35,584,0.114068441064639,17368.9882698819,0.000697860047344464,"CS",1,NA,"CS"
"0IrZEuIAAAAJ","URSULA W GOODENOUGH ","BIO",59,107,1969,2016,139,7629,382,7.466,3.446,11,4861441,0,0,1965,302,2,300,0.135514018691589,525.064053168659,9.32432886195367e-05,"BIO",11,NA,"BIO"
"0j1TcuMAAAAJ","ILYA J FINKELSTEIN ","BIO",19,24,2003,2016,27,1227,197,8.691,4.926,1,301249,9,947447,2000,85,2,83,0.0862068965517241,3867,0.000195319823539909,"BIO",30,NA,"BIO"
"0JLkp6FGK_AC","BRUCE A CARLSON ","BIO",15,23,2000,2016,38,711,68,5.459,2.395,3,1005507,3,158085,2000,34,2,32,0.1,158.115252047549,0.000132032683685652,"BIO",11,NA,"BIO"
"0jSdqoEAAAAJ","BRIAN MICHAEL SCASSELLATI ","CS",40,86,1994,2016,130,6276,657,2.235,3.369,8,4944339,0,0,1990,133,3,130,0.0616438356164384,103.323755998123,0.000110540754178735,"CS",20,NA,"CS"
"0Kl8sf4AAAAJ","CORNELIUS S BARRY ","BIO",24,31,1993,2016,36,3046,413,6.658,7.639,2,3714098,0,0,1990,132,2,130,0.360655737704918,18.1639125648383,8.45660213482215e-05,"XD",50,NA,"BIO"
"0Kvq4bUAAAAJ","JAN HOFFMANN ","CS",13,15,2007,2017,22,429,91,0.667,3.045,1,420954,0,0,2005,26,2,24,0,312.901633012594,9.72004638841176e-05,"CS",1,NA,"CS"
"0lcJYs8AAAAJ","TIM ROUGHGARDEN ","CS",49,105,1999,2016,131,9485,1756,1.45,2.565,5,1837957,0,0,1995,269,23,246,0.142857142857143,8535.2380430096,0.000509020972692255,"CS",1,NA,"CS"
"0LS98DEAAAAJ","YAOYUN SHI ","CS",20,29,2000,2016,39,1520,206,1.703,2.256,0,0,0,0,2000,118,3,115,0.214285714285714,364.457244396583,0.00011490287872255,"CS",13,NA,"CS"
"0LYr5i8AAAAJ","ANTONY M JOSE ","BIO",9,9,2001,2016,10,314,92,8.304,3.2,0,0,0,0,2000,14,1,13,0.263157894736842,0,7.2923444217709e-05,"BIO",55,NA,"BIO"
"0nBysEcAAAAJ","ALFRED KOBSA ","CS",48,104,1982,2016,137,7771,858,1.675,2.54,7,4174846,0,0,1980,245,11,234,0.064,6417.26733941136,0.000272488351693932,"CS",29,NA,"CS"
